"Grouped BOM (bill of material) from schematics project: bluemote_pod.proj"
"This was created by:  Project Manager v 3.9.5 - Kiwi PCB",
"The Project Manager is copyright 2011, www.KiwiPCB.com",
"This release is for general use.",
"Created on 01/21/11 at 07:41:15   For Kenneth Hutchins  < kenneth.hutchins@gmail.com > ",


"Project name: /home/ken/bluemote/hw/bluemote_pod.proj",
"PCB name: bluemote_pod.pcb",
"Schematic files in this project:",
"    1      /home/ken/bluemote/hw/schematics/bluemote_pod.sch",

"*** You are working with all of the schematics.***",


"REFDES",	"DEVICE",	"DESCRIPTION",	"VALUE",	"FOOTPRINT",	"COMMENT",	"DOCUMENTATION",	"SYMVERSION",	"QUANTITY",

"(U2)",	"Bluetooth_Module",	"Class 2 Bluetooth Module",	"none",	"roving_networks_rn42.fp",	"no comments",	"rn-42.pdf",	"1.0",	"1",
"(D1)",	"device",	"LED",	"none",	"led_t1_75.fp",	"no comments",	"http://www.fairchildsemi.com/ds/QE/QED223.pdf",	"1.0",	"1",
"(U3)",	"device",	"Photodiode with photodetection function",	"none",	"pna4612m.fp",	"no comments",	"http://www.semicon.panasonic.co.jp/ds4/PNA4612M_BEK_discon.pdf",	"1.0",	"1",
"(D2 D3)",	"device",	"standard diode",	"none",	"diode_sma.fp",	"no comments",	"http://www.diodes.com/datasheets/ds16003.pdf",	"1.0",	"2",
"(U1)",	"Microprocessor",	"MSP430x22x2 DA Package",	"none",	"texas_instruments_tssop_38pin.fp",	"no comments",	"msp430f2232.pdf",	"1.0",	"1",
"(Q?)",	"NMOS",	"NMOS, SOT-23, Vdss = 60V, Id = 115mA",	"none",	"sot_23.fp",	"no comments",	"http://www.diodes.com/datasheets/ds11303.pdf",	"1.1",	"1",
"(Q1)",	"NPN",	"NPN, SOT-23, Vcb0 = 300V, Ic = 0.5A",	"none",	"sot_23.fp",	"no comments",	"http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00002980.pdf",	"1.1",	"1",
"(R1 R2)",	"resistor",	"description of the symbol",	"1K",	"0805_resistor.fp",	"no comments",	"http://www.vishay.com/docs/20035/dcrcwe3.pdf",	"1.1",	"2",
""
"End of BOM"
